jobName,companyName,salary,experience,place,companySize,special,school,description
2018 Summer Intern - APAC Data Engineering Intern,香港商雅虎資訊股份有限公司(Yahoo!奇摩),面議,經歷不拘,台北市南港區,員工1200人,外商公司,大學," digital and mobile, Oath is shaping the future of media. The APAC Data team provides information from daily operation to"
Data Scientist / 資料科學家,集邦科技股份有限公司_TRENDFORCE,面議,經歷不拘,台北市中山區,員工250人,,碩士," amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus is to apply most"
Data Engineer 資料工程師,國風傳媒有限公司,面議,3年以上,台北市內湖區,員工105人,,大學,「風傳媒集團」是一間從媒體、優質內容出發的網路科技公司。我們正努力以Data為核心的產品研發方向，在面對大量的使用者行為，及多變的媒體網路環境，使用ML、AI 、Mobile、Cloud等頂尖的專業技術，研發具有競爭力及創新的網路服務，歡迎對技術
Data Scientist 資料科學家,易享科技股份有限公司,月薪 7萬5仟元 至 10萬元,經歷不拘,台北市中正區,,,大學,") 具備基本程式設計能力，具備Data mining, Machine learning等相關知識尤佳
(3) 具備基本統計／商業概念及精準的產品直覺 
(4) 擅團隊合作、能根據事實建立縝密邏輯做跨部門溝通"
資料科學家/Data Scientist,香港商樂愛創新科技有限公司台灣分公司,面議,經歷不拘,台北市大同區,,,碩士,"客戶達成或優化商業目標。

工作內容：
協助客戶進行數據處理
(data clean/transform/labeling/profiling/feature selection …etc)
協助客戶數據分析建模
協助客戶將分析結果視覺"
政府計畫：博士研發人才(專長：區塊鏈/金融科技/人工智慧/聊天IM機器人/機器學習/資料探勘/大數據；Blockchain/ICO/Fintech/AI/Chatbot/Data Mining/Big Data),環球睿視股份有限公司,面議,經歷不拘,台北市內湖區,,,博士,"應用領域開發)
6. Data Mining 資料探勘 (Text/Graph/Visual/Patent Mining、information Retrieval、informetrics、Bioinformatics等)
7. Big"
[知名外商] QA Engineer (COD Data Analyst) - 105JP,萬寶華企業管理顧問股份有限公司,面議,經歷不拘,台北市大安區,,,大學,"The Quality Engineer is responsible for driving continuous improvement in the quality of Dell systems, solutions, peripherals, and software as experienced by our customers. The Quality Engineer works with Engineering, Manufacturing, Procurement, Supplier Quality and Product Support to ensure that Dell delivers high quality products and processes to customers. Additional responsibilities include ensuring quality goals and performance measurements are met.
PRINCIPLE DUTIES AND RESPONSIBILITIES:
 Lead in Core Team (Program Team) as a quality representative identify and implement action resolve Customer Experience issues, reduce dispatch rates and better customer experience. 
 Work with cross-functional team to support the CLCA process relative to portable / desktop computers.
 Drive quality improvements by eliminating sources of defects in the design, supplier, new product introduction, and mfg processes.
 Drive improvements in dispatch rates and warranty cost through product and process quality improvements.  
 Drive cross-functional quality improvements focused on robust design, superior supplier quality management and enhanced diagnostic capability.
 Utilize product and process lessons learned to drive preventative actions and improvement plans. 
 Drive cross functional WW initiatives to drive overall warranty cost reduction and customer improvement using BPI principles."
大數據資料管理師 (Data Scientist),智域國際股份有限公司,面議,2年以上,台北市信義區,,,大學,"1. 不同類型，數據資料收集。
2. 多維度模型定義。
3. 設計、建構數據分析模板，並針對目標進行分析。
4. 依數據分析結果，提出對應之改善方向與解決方案"
Big Data Engineer/ Data Engineer (美商，與美國工程師一同工作),英諾瓦資訊科技服務有限公司,面議,2年以上,台北市內湖區,,外商公司,專科,"Big Data Software Engineer/Developer
• Develop and maintain applications built using Big Data solutions such as Apache"
Senior Big Data Engineer/ Data Engineer (美商，與美國工程師一同工作),英諾瓦資訊科技服務有限公司,面議,6年以上,台北市內湖區,,外商公司,專科,"Senior Big Data Software Engineer/Developer
• Develop and maintain applications built using Big Data solutions such as"
